Unnamed: 0.1;Unnamed: 0;article;vehicleClass;amount;points;Case ID;Activity;Resource;lastSent;notificationType;dismissal;expense;time:timestamp;label;relative_timestamp_from_start;relative_timestamp_from_previous_activity;concept:name;case:concept:name;case:label
17;;;A;90.81216430664062;;GEN2;Add penalty;;;;;;2011-11-20 23:59:06;deviant;1027176.15;84169.01666666666;Add penalty;GEN2;deviant
18;;;A;90.81216430664062;;GEN2;Insert Date Appeal to Prefecture;;;;;;2011-12-24 06:20:24;deviant;1027176.15;47901.3;Insert Date Appeal to Prefecture;GEN2;deviant
19;;;A;90.81216430664062;;GEN2;Send Appeal to Prefecture;;;;;;2012-01-24 13:05:28;deviant;1027176.15;45045.066666666666;Send Appeal to Prefecture;GEN2;deviant
20;;;A;90.81216430664062;;GEN2;Receive Result Appeal from Prefecture;;;;;;2012-03-15 08:29:17;deviant;1027176.15;73163.81666666667;Receive Result Appeal from Prefecture;GEN2;deviant
21;;;A;90.81216430664062;;GEN2;Notify Result Appeal to Offender;;;;;;2012-04-22 00:49:14;deviant;1027176.15;54259.95;Notify Result Appeal to Offender;GEN2;deviant
22;;;A;90.81216430664062;;GEN2;Payment;;;;;;2012-06-06 15:38:25;deviant;1027176.15;65689.18333333333;Payment;GEN2;deviant
23;;;A;60.8676643371582;;GEN3;Create Fine;;;;;;2010-09-29 21:21:08;deviant;663681.1333333333;0.0;Create Fine;GEN3;deviant
24;;;A;60.8676643371582;;GEN3;Send Fine;;;;;;2010-12-30 20:44:55;deviant;663681.1333333333;132443.78333333333;Send Fine;GEN3;deviant
25;;;A;60.8676643371582;;GEN3;Insert Fine Notification;;;;;;2011-01-11 23:17:56;deviant;663681.1333333333;17433.016666666666;Insert Fine Notification;GEN3;deviant
26;;;A;60.8676643371582;;GEN3;Insert Date Appeal to Prefecture;;;;;;2011-02-03 20:22:32;deviant;663681.1333333333;32944.6;Insert Date Appeal to Prefecture;GEN3;deviant
27;;;A;60.8676643371582;;GEN3;Send Appeal to Prefecture;;;;;;2011-02-25 12:17:00;deviant;663681.1333333333;31194.466666666667;Send Appeal to Prefecture;GEN3;deviant
28;;;A;60.8676643371582;;GEN3;Add penalty;;;;;;2011-03-21 15:49:27;deviant;663681.1333333333;34772.45;Add penalty;GEN3;deviant
29;;;A;60.8676643371582;;GEN3;Receive Result Appeal from Prefecture;;;;;;2011-05-20 11:43:46;deviant;663681.1333333333;86154.31666666667;Receive Result Appeal from Prefecture;GEN3;deviant
30;;;A;60.8676643371582;;GEN3;Notify Result Appeal to Offender;;;;;;2011-07-04 19:11:08;deviant;663681.1333333333;65247.36666666667;Notify Result Appeal to Offender;GEN3;deviant
31;;;A;67.97836303710938;;GEN4;Create Fine;;;;;;2011-09-21 14:33:08;deviant;1177353.1333333333;0.0;Create Fine;GEN4;deviant
32;;;A;67.97836303710938;;GEN4;Send Fine;;;;;;2011-12-29 14:09:24;deviant;1177353.1333333333;142536.26666666666;Send Fine;GEN4;deviant
33;;;A;67.97836303710938;;GEN4;Insert Fine Notification;;;;;;2012-01-11 19:21:11;deviant;1177353.1333333333;19031.783333333333;Insert Fine Notification;GEN4;deviant
34;;;A;67.97836303710938;;GEN4;Insert Date Appeal to Prefecture;;;;;;2012-02-17 07:22:43;deviant;1177353.1333333333;52561.53333333333;Insert Date Appeal to Prefecture;GEN4;deviant
35;;;A;67.97836303710938;;GEN4;Add penalty;;;;;;2012-03-09 14:09:40;deviant;1177353.1333333333;30646.95;Add penalty;GEN4;deviant
36;;;A;67.97836303710938;;GEN4;Send Appeal to Prefecture;;;;;;2012-03-27 16:20:45;deviant;1177353.1333333333;26051.08333333333;Send Appeal to Prefecture;GEN4;deviant
37;;;A;57.217403411865234;;GEN5;Create Fine;;;;;;2011-02-27 23:19:23;deviant;881239.3833333333;0.0;Create Fine;GEN5;deviant
38;;;A;57.217403411865234;;GEN5;Send Fine;;;;;;2011-06-04 05:39:15;deviant;881239.3833333333;138619.86666666667;Send Fine;GEN5;deviant
39;;;A;57.217403411865234;;GEN5;Insert Fine Notification;;;;;;2011-06-16 21:32:54;deviant;881239.3833333333;18233.65;Insert Fine Notification;GEN5;deviant
40;;;A;57.217403411865234;;GEN5;Insert Date Appeal to Prefecture;;;;;;2011-07-22 05:46:22;deviant;881239.3833333333;50893.46666666667;Insert Date Appeal to Prefecture;GEN5;deviant
41;;;A;57.217403411865234;;GEN5;Add penalty;;;;;;2011-08-11 20:25:40;deviant;881239.3833333333;29679.3;Add penalty;GEN5;deviant
42;;;A;57.217403411865234;;GEN5;Send Appeal to Prefecture;;;;;;2011-08-31 09:21:08;deviant;881239.3833333333;28135.466666666667;Send Appeal to Prefecture;GEN5;deviant
43;;;A;57.217403411865234;;GEN5;Receive Result Appeal from Prefecture;;;;;;2011-10-31 14:17:33;deviant;881239.3833333333;88136.41666666667;Receive Result Appeal from Prefecture;GEN5;deviant
44;;;A;57.217403411865234;;GEN5;Notify Result Appeal to Offender;;;;;;2011-12-17 21:21:56;deviant;881239.3833333333;68104.38333333333;Notify Result Appeal to Offender;GEN5;deviant
45;;;A;67.72845458984375;;GEN6;Create Fine;;;;;;2011-11-24 02:11:08;deviant;1268771.1333333333;0.0;Create Fine;GEN6;deviant
46;;;A;67.72845458984375;;GEN6;Send Fine;;;;;;2012-03-04 04:55:36;deviant;1268771.1333333333;145604.46666666667;Send Fine;GEN6;deviant
47;;;A;67.72845458984375;;GEN6;Insert Fine Notification;;;;;;2012-03-17 04:26:38;deviant;1268771.1333333333;18691.033333333333;Insert Fine Notification;GEN6;deviant
48;;;A;67.72845458984375;;GEN6;Insert Date Appeal to Prefecture;;;;;;2012-04-23 07:06:37;deviant;1268771.1333333333;53439.98333333333;Insert Date Appeal to Prefecture;GEN6;deviant
49;;;A;67.72845458984375;;GEN6;Add penalty;;;;;;2012-05-14 22:22:51;deviant;1268771.1333333333;31156.233333333334;Add penalty;GEN6;deviant
50;;;A;67.72845458984375;;GEN6;Send Appeal to Prefecture;;;;;;2012-06-02 10:05:11;deviant;1268771.1333333333;26622.33333333333;Send Appeal to Prefecture;GEN6;deviant
51;;;A;57.33919143676758;;GEN7;Create Fine;;;;;;2012-01-05 16:43:38;deviant;1330123.6333333333;0.0;Create Fine;GEN7;deviant
52;;;A;57.33919143676758;;GEN7;Send Fine;;;;;;2012-04-23 03:05:58;deviant;1330123.6333333333;156142.33333333334;Send Fine;GEN7;deviant
53;;;A;57.33919143676758;;GEN7;Insert Fine Notification;;;;;;2012-05-05 21:57:37;deviant;1330123.6333333333;18411.65;Insert Fine Notification;GEN7;deviant
54;;;A;57.33919143676758;;GEN7;Insert Date Appeal to Prefecture;;;;;;2012-06-08 12:51:10;deviant;1330123.6333333333;48413.55;Insert Date Appeal to Prefecture;GEN7;deviant
55;;;A;57.33919143676758;;GEN7;Add penalty;;;;;;2012-06-30 01:32:33;deviant;1330123.6333333333;31001.38333333333;Add penalty;GEN7;deviant
56;;;A;57.33919143676758;;GEN7;Send Appeal to Prefecture;;;;;;2012-07-19 19:42:45;deviant;1330123.6333333333;28450.2;Send Appeal to Prefecture;GEN7;deviant
57;;;A;57.33919143676758;;GEN7;Receive Result Appeal from Prefecture;;;;;;2012-09-21 20:59:18;deviant;1330123.6333333333;92236.55;Receive Result Appeal from Prefecture;GEN7;deviant
58;;;A;57.33919143676758;;GEN7;Notify Result Appeal to Offender;;;;;;2012-10-31 05:18:36;deviant;1330123.6333333333;56659.3;Notify Result Appeal to Offender;GEN7;deviant
59;;;A;57.33919143676758;;GEN7;Payment;;;;;;2012-12-10 04:14:10;deviant;1330123.6333333333;57535.566666666666;Payment;GEN7;deviant
60;;;A;76.30509185791016;;GEN8;Create Fine;;;;;;2011-04-19 07:41:55;deviant;953741.9166666666;0.0;Create Fine;GEN8;deviant
61;;;A;76.30509185791016;;GEN8;Send Fine;;;;;;2011-08-07 22:05:34;deviant;953741.9166666666;159263.65;Send Fine;GEN8;deviant
62;;;A;76.30509185791016;;GEN8;Insert Fine Notification;;;;;;2011-08-17 15:05:20;deviant;953741.9166666666;13979.766666666666;Insert Fine Notification;GEN8;deviant
63;;;A;76.30509185791016;;GEN8;Insert Date Appeal to Prefecture;;;;;;2011-09-07 11:34:47;deviant;953741.9166666666;30029.45;Insert Date Appeal to Prefecture;GEN8;deviant
64;;;A;76.30509185791016;;GEN8;Add penalty;;;;;;2011-10-03 06:22:29;deviant;953741.9166666666;37127.7;Add penalty;GEN8;deviant
65;;;A;76.30509185791016;;GEN8;Send Appeal to Prefecture;;;;;;2011-10-22 03:42:40;deviant;953741.9166666666;27200.18333333333;Send Appeal to Prefecture;GEN8;deviant
66;;;A;76.30509185791016;;GEN8;Receive Result Appeal from Prefecture;;;;;;2011-12-25 05:48:27;deviant;953741.9166666666;92285.78333333334;Receive Result Appeal from Prefecture;GEN8;deviant
67;;;A;76.30509185791016;;GEN8;Notify Result Appeal to Offender;;;;;;2012-02-02 18:55:58;deviant;953741.9166666666;56947.51666666667;Notify Result Appeal to Offender;GEN8;deviant
68;;;A;76.30509185791016;;GEN8;Appeal to Judge;;;;;;2012-03-07 02:25:15;deviant;953741.9166666666;47969.28333333333;Appeal to Judge;GEN8;deviant
69;;;A;76.30509185791016;;GEN8;Payment;;;;;;2012-09-06 05:24:07;deviant;953741.9166666666;263698.86666666664;Payment;GEN8;deviant
70;;;A;62.54450988769531;;GEN9;Create Fine;;;;;;2011-02-28 12:28:23;deviant;882028.3833333333;0.0;Create Fine;GEN9;deviant
71;;;A;62.54450988769531;;GEN9;Send Fine;;;;;;2011-05-23 04:31:17;deviant;882028.3833333333;120482.9;Send Fine;GEN9;deviant
72;;;A;62.54450988769531;;GEN9;Insert Fine Notification;;;;;;2011-06-13 02:03:13;deviant;882028.3833333333;30091.93333333333;Insert Fine Notification;GEN9;deviant
73;;;A;62.54450988769531;;GEN9;Insert Date Appeal to Prefecture;;;;;;2011-07-08 00:18:36;deviant;882028.3833333333;35895.38333333333;Insert Date Appeal to Prefecture;GEN9;deviant
74;;;A;62.54450988769531;;GEN9;Add penalty;;;;;;2011-08-10 06:52:54;deviant;882028.3833333333;47914.3;Add penalty;GEN9;deviant
75;;;A;62.54450988769531;;GEN9;Send Appeal to Prefecture;;;;;;2017-01-22 04:11:24;deviant;882028.3833333333;2868318.5;Send Appeal to Prefecture;GEN9;deviant
76;;;A;65.11939239501953;;GEN10;Create Fine;;;;;;2011-10-04 06:00:23;deviant;1195560.3833333333;0.0;Create Fine;GEN10;deviant
77;;;A;65.11939239501953;;GEN10;Send Fine;;;;;;2012-01-12 01:28:40;deviant;1195560.3833333333;143728.28333333333;Send Fine;GEN10;deviant
78;;;A;65.11939239501953;;GEN10;Insert Fine Notification;;;;;;2012-01-25 19:58:33;deviant;1195560.3833333333;19829.88333333333;Insert Fine Notification;GEN10;deviant
79;;;A;65.11939239501953;;GEN10;Insert Date Appeal to Prefecture;;;;;;2012-03-03 07:13:44;deviant;1195560.3833333333;53955.18333333333;Insert Date Appeal to Prefecture;GEN10;deviant
80;;;A;65.11939239501953;;GEN10;Add penalty;;;;;;2012-03-24 15:45:49;deviant;1195560.3833333333;30752.08333333333;Add penalty;GEN10;deviant
81;;;A;65.11939239501953;;GEN10;Send Appeal to Prefecture;;;;;;2012-04-14 19:53:42;deviant;1195560.3833333333;30487.88333333333;Send Appeal to Prefecture;GEN10;deviant
82;;;A;59.99330139160156;;GEN11;Create Fine;;;;;;2011-11-17 00:20:38;deviant;1258580.6333333333;0.0;Create Fine;GEN11;deviant
83;;;A;59.99330139160156;;GEN11;Send Fine;;;;;;2012-02-26 16:18:49;deviant;1258580.6333333333;146398.18333333332;Send Fine;GEN11;deviant
84;;;A;59.99330139160156;;GEN11;Insert Fine Notification;;;;;;2012-03-11 15:32:54;deviant;1258580.6333333333;20114.08333333333;Insert Fine Notification;GEN11;deviant
85;;;A;59.99330139160156;;GEN11;Insert Date Appeal to Prefecture;;;;;;2012-04-17 12:10:08;deviant;1258580.6333333333;53077.23333333333;Insert Date Appeal to Prefecture;GEN11;deviant
86;;;A;59.99330139160156;;GEN11;Add penalty;;;;;;2012-05-07 12:20:15;deviant;1258580.6333333333;28810.116666666665;Add penalty;GEN11;deviant
87;;;A;59.99330139160156;;GEN11;Send Appeal to Prefecture;;;;;;2012-05-27 03:27:37;deviant;1258580.6333333333;28267.366666666665;Send Appeal to Prefecture;GEN11;deviant
88;;;A;79.37892150878906;;GEN12;Create Fine;;;;;;2010-12-23 01:48:53;deviant;784908.8833333333;0.0;Create Fine;GEN12;deviant
89;;;A;79.37892150878906;;GEN12;Send Fine;;;;;;2011-03-23 21:46:02;deviant;784908.8833333333;130797.15;Send Fine;GEN12;deviant
90;;;A;79.37892150878906;;GEN12;Insert Fine Notification;;;;;;2011-04-05 20:17:23;deviant;784908.8833333333;18631.35;Insert Fine Notification;GEN12;deviant
91;;;A;79.37892150878906;;GEN12;Add penalty;;;;;;2011-05-30 23:29:52;deviant;784908.8833333333;79392.48333333334;Add penalty;GEN12;deviant
92;;;A;79.37892150878906;;GEN12;Insert Date Appeal to Prefecture;;;;;;2011-06-17 20:34:32;deviant;784908.8833333333;25744.666666666668;Insert Date Appeal to Prefecture;GEN12;deviant
93;;;A;79.37892150878906;;GEN12;Send Appeal to Prefecture;;;;;;2011-07-15 19:52:57;deviant;784908.8833333333;40278.41666666666;Send Appeal to Prefecture;GEN12;deviant
94;;;A;57.64813995361328;;GEN13;Create Fine;;;;;;2010-06-19 15:59:48;deviant;516479.8;0.0;Create Fine;GEN13;deviant
95;;;A;57.64813995361328;;GEN13;Send Fine;;;;;;2010-09-21 17:08:09;deviant;516479.8;135428.35;Send Fine;GEN13;deviant
96;;;A;57.64813995361328;;GEN13;Insert Fine Notification;;;;;;2010-10-05 18:01:36;deviant;516479.8;20213.45;Insert Fine Notification;GEN13;deviant
97;;;A;57.64813995361328;;GEN13;Insert Date Appeal to Prefecture;;;;;;2010-10-20 01:06:46;deviant;516479.8;20585.166666666668;Insert Date Appeal to Prefecture;GEN13;deviant
98;;;A;57.64813995361328;;GEN13;Send Appeal to Prefecture;;;;;;2010-11-08 10:27:25;deviant;516479.8;27920.65;Send Appeal to Prefecture;GEN13;deviant
99;;;A;57.64813995361328;;GEN13;Add penalty;;;;;;2010-12-01 10:47:12;deviant;516479.8;33139.78333333333;Add penalty;GEN13;deviant
100;;;A;57.64813995361328;;GEN13;Receive Result Appeal from Prefecture;;;;;;2011-01-24 02:33:20;deviant;516479.8;77266.13333333333;Receive Result Appeal from Prefecture;GEN13;deviant
101;;;A;57.64813995361328;;GEN13;Notify Result Appeal to Offender;;;;;;2011-03-15 03:34:14;deviant;516479.8;72060.9;Notify Result Appeal to Offender;GEN13;deviant
102;;;A;58.87185287475586;;GEN14;Create Fine;;;;;;2011-05-28 04:01:45;deviant;1009681.75;0.0;Create Fine;GEN14;deviant
103;;;A;58.87185287475586;;GEN14;Send Fine;;;;;;2011-08-22 12:29:50;deviant;1009681.75;124348.08333333331;Send Fine;GEN14;deviant
104;;;A;58.87185287475586;;GEN14;Insert Fine Notification;;;;;;2011-09-08 02:06:49;deviant;1009681.75;23856.983333333334;Insert Fine Notification;GEN14;deviant
105;;;A;58.87185287475586;;GEN14;Insert Date Appeal to Prefecture;;;;;;2011-10-09 14:33:53;deviant;1009681.75;45387.066666666666;Insert Date Appeal to Prefecture;GEN14;deviant
106;;;A;58.87185287475586;;GEN14;Add penalty;;;;;;2011-11-26 00:53:48;deviant;1009681.75;68299.91666666667;Add penalty;GEN14;deviant
107;;;A;58.87185287475586;;GEN14;Send Appeal to Prefecture;;;;;;2020-12-14 08:56:48;deviant;1009681.75;4761123.0;Send Appeal to Prefecture;GEN14;deviant
108;;;A;56.849266052246094;;GEN15;Create Fine;;;;;;2011-02-08 21:32:38;deviant;853772.6333333333;0.0;Create Fine;GEN15;deviant
109;;;A;56.849266052246094;;GEN15;Send Fine;;;;;;2011-06-01 13:42:06;deviant;853772.6333333333;162249.46666666667;Send Fine;GEN15;deviant
110;;;A;56.849266052246094;;GEN15;Insert Fine Notification;;;;;;2011-06-16 17:48:51;deviant;853772.6333333333;21846.75;Insert Fine Notification;GEN15;deviant
111;;;A;56.849266052246094;;GEN15;Insert Date Appeal to Prefecture;;;;;;2011-07-20 09:45:36;deviant;853772.6333333333;48476.75;Insert Date Appeal to Prefecture;GEN15;deviant
112;;;A;56.849266052246094;;GEN15;Add penalty;;;;;;2011-08-26 05:31:08;deviant;853772.6333333333;53025.53333333333;Add penalty;GEN15;deviant
113;;;A;56.849266052246094;;GEN15;Send Appeal to Prefecture;;;;;;2018-12-10 22:51:53;deviant;853772.6333333333;3835760.75;Send Appeal to Prefecture;GEN15;deviant
114;;;A;68.00227355957031;;GEN16;Create Fine;;;;;;2011-12-02 01:41:53;deviant;1280261.8833333333;0.0;Create Fine;GEN16;deviant
115;;;A;68.00227355957031;;GEN16;Send Fine;;;;;;2012-03-10 12:44:09;deviant;1280261.8833333333;143222.26666666666;Send Fine;GEN16;deviant
116;;;A;68.00227355957031;;GEN16;Insert Fine Notification;;;;;;2012-03-23 20:17:09;deviant;1280261.8833333333;19173.0;Insert Fine Notification;GEN16;deviant
117;;;A;68.00227355957031;;GEN16;Insert Date Appeal to Prefecture;;;;;;2012-04-30 07:22:27;deviant;1280261.8833333333;53945.3;Insert Date Appeal to Prefecture;GEN16;deviant
118;;;A;68.00227355957031;;GEN16;Add penalty;;;;;;2012-05-22 02:18:23;deviant;1280261.8833333333;31375.93333333333;Add penalty;GEN16;deviant
119;;;A;68.00227355957031;;GEN16;Send Appeal to Prefecture;;;;;;2012-06-13 19:18:19;deviant;1280261.8833333333;32699.93333333333;Send Appeal to Prefecture;GEN16;deviant
120;;;A;66.12626647949219;;GEN17;Create Fine;;;;;;2011-10-13 20:31:08;deviant;1209391.1333333333;0.0;Create Fine;GEN17;deviant
121;;;A;66.12626647949219;;GEN17;Send Fine;;;;;;2012-01-21 11:51:13;deviant;1209391.1333333333;143480.08333333334;Send Fine;GEN17;deviant
122;;;A;66.12626647949219;;GEN17;Insert Fine Notification;;;;;;2012-02-03 09:18:17;deviant;1209391.1333333333;18567.066666666666;Insert Fine Notification;GEN17;deviant
123;;;A;66.12626647949219;;GEN17;Insert Date Appeal to Prefecture;;;;;;2012-03-10 17:50:01;deviant;1209391.1333333333;52351.73333333333;Insert Date Appeal to Prefecture;GEN17;deviant
124;;;A;66.12626647949219;;GEN17;Add penalty;;;;;;2012-04-01 15:57:14;deviant;1209391.1333333333;31567.216666666667;Add penalty;GEN17;deviant
125;;;A;66.12626647949219;;GEN17;Send Appeal to Prefecture;;;;;;2012-04-19 05:00:54;deviant;1209391.1333333333;25263.666666666668;Send Appeal to Prefecture;GEN17;deviant
126;;;A;92.90447235107422;;GEN18;Create Fine;;;;;;2011-06-18 16:48:30;deviant;1040688.5;0.0;Create Fine;GEN18;deviant
127;;;A;92.90447235107422;;GEN18;Send Fine;;;;;;2011-09-16 04:44:59;deviant;1040688.5;128876.48333333334;Send Fine;GEN18;deviant
128;;;A;92.90447235107422;;GEN18;Insert Fine Notification;;;;;;2011-09-29 00:47:54;deviant;1040688.5;18482.916666666668;Insert Fine Notification;GEN18;deviant
129;;;A;92.90447235107422;;GEN18;Add penalty;;;;;;2011-11-19 09:40:00;deviant;1040688.5;73972.1;Add penalty;GEN18;deviant
130;;;A;92.90447235107422;;GEN18;Insert Date Appeal to Prefecture;;;;;;2011-12-11 12:44:51;deviant;1040688.5;31864.85;Insert Date Appeal to Prefecture;GEN18;deviant
131;;;A;92.90447235107422;;GEN18;Send Appeal to Prefecture;;;;;;2012-01-13 17:39:46;deviant;1040688.5;47814.91666666666;Send Appeal to Prefecture;GEN18;deviant
132;;;A;58.59733963012695;;GEN19;Create Fine;;;;;;2011-10-31 01:21:08;deviant;1234161.1333333333;0.0;Create Fine;GEN19;deviant
133;;;A;58.59733963012695;;GEN19;Send Fine;;;;;;2012-02-05 09:59:16;deviant;1234161.1333333333;140198.13333333333;Send Fine;GEN19;deviant
134;;;A;58.59733963012695;;GEN19;Insert Fine Notification;;;;;;2012-02-18 06:53:39;deviant;1234161.1333333333;18534.38333333333;Insert Fine Notification;GEN19;deviant
135;;;A;58.59733963012695;;GEN19;Insert Date Appeal to Prefecture;;;;;;2012-03-27 14:15:30;deviant;1234161.1333333333;55161.85;Insert Date Appeal to Prefecture;GEN19;deviant
136;;;A;58.59733963012695;;GEN19;Add penalty;;;;;;2012-04-18 08:00:11;deviant;1234161.1333333333;31304.68333333333;Add penalty;GEN19;deviant
137;;;A;58.59733963012695;;GEN19;Send Appeal to Prefecture;;;;;;2012-05-07 17:53:27;deviant;1234161.1333333333;27953.266666666663;Send Appeal to Prefecture;GEN19;deviant
138;;;A;61.67351913452149;;GEN20;Create Fine;;;;;;2011-01-17 21:45:24;deviant;822105.4;0.0;Create Fine;GEN20;deviant
139;;;A;61.67351913452149;;GEN20;Send Fine;;;;;;2011-05-01 10:08:43;deviant;822105.4;149063.31666666668;Send Fine;GEN20;deviant
140;;;A;61.67351913452149;;GEN20;Insert Fine Notification;;;;;;2011-05-14 11:23:40;deviant;822105.4;18794.95;Insert Fine Notification;GEN20;deviant
141;;;A;61.67351913452149;;GEN20;Insert Date Appeal to Prefecture;;;;;;2011-05-30 00:42:52;deviant;822105.4;22399.2;Insert Date Appeal to Prefecture;GEN20;deviant
142;;;A;61.67351913452149;;GEN20;Send Appeal to Prefecture;;;;;;2011-06-23 16:48:38;deviant;822105.4;35525.76666666667;Send Appeal to Prefecture;GEN20;deviant
143;;;A;61.67351913452149;;GEN20;Add penalty;;;;;;2011-07-14 00:42:22;deviant;822105.4;29273.733333333334;Add penalty;GEN20;deviant
144;;;A;61.67351913452149;;GEN20;Receive Result Appeal from Prefecture;;;;;;2011-08-27 03:55:45;deviant;822105.4;63553.38333333333;Receive Result Appeal from Prefecture;GEN20;deviant
145;;;A;61.67351913452149;;GEN20;Notify Result Appeal to Offender;;;;;;2011-10-06 15:17:33;deviant;822105.4;58281.8;Notify Result Appeal to Offender;GEN20;deviant
146;;;A;61.67351913452149;;GEN20;Payment;;;;;;2011-11-14 06:19:33;deviant;822105.4;55622.0;Payment;GEN20;deviant
147;;;A;62.98915481567383;;GEN21;Create Fine;;;;;;2011-10-22 07:18:23;deviant;1221558.3833333333;0.0;Create Fine;GEN21;deviant
148;;;A;62.98915481567383;;GEN21;Send Fine;;;;;;2012-01-30 11:50:47;deviant;1221558.3833333333;144272.4;Send Fine;GEN21;deviant
149;;;A;62.98915481567383;;GEN21;Insert Fine Notification;;;;;;2012-02-12 20:37:43;deviant;1221558.3833333333;19246.93333333333;Insert Fine Notification;GEN21;deviant
150;;;A;62.98915481567383;;GEN21;Insert Date Appeal to Prefecture;;;;;;2012-03-21 11:04:48;deviant;1221558.3833333333;54147.083333333336;Insert Date Appeal to Prefecture;GEN21;deviant
151;;;A;62.98915481567383;;GEN21;Add penalty;;;;;;2012-04-11 22:41:07;deviant;1221558.3833333333;30936.316666666666;Add penalty;GEN21;deviant
152;;;A;62.98915481567383;;GEN21;Send Appeal to Prefecture;;;;;;2012-04-30 05:42:03;deviant;1221558.3833333333;26340.93333333333;Send Appeal to Prefecture;GEN21;deviant
153;;;A;60.80398178100586;;GEN22;Create Fine;;;;;;2010-05-22 00:28:15;deviant;475228.25;0.0;Create Fine;GEN22;deviant
154;;;A;60.80398178100586;;GEN22;Send Fine;;;;;;2010-08-19 09:12:16;deviant;475228.25;128684.01666666666;Send Fine;GEN22;deviant
155;;;A;60.80398178100586;;GEN22;Insert Fine Notification;;;;;;2010-09-01 21:59:43;deviant;475228.25;19487.45;Insert Fine Notification;GEN22;deviant
156;;;A;60.80398178100586;;GEN22;Insert Date Appeal to Prefecture;;;;;;2010-09-15 19:37:25;deviant;475228.25;20017.7;Insert Date Appeal to Prefecture;GEN22;deviant
157;;;A;60.80398178100586;;GEN22;Send Appeal to Prefecture;;;;;;2010-10-09 04:48:11;deviant;475228.25;33670.76666666667;Send Appeal to Prefecture;GEN22;deviant
158;;;A;60.80398178100586;;GEN22;Add penalty;;;;;;2010-10-31 15:01:49;deviant;475228.25;32293.63333333333;Add penalty;GEN22;deviant
159;;;A;60.80398178100586;;GEN22;Receive Result Appeal from Prefecture;;;;;;2010-12-13 02:10:37;deviant;475228.25;61148.8;Receive Result Appeal from Prefecture;GEN22;deviant
160;;;A;60.80398178100586;;GEN22;Notify Result Appeal to Offender;;;;;;2011-01-30 19:33:24;deviant;475228.25;70162.78333333334;Notify Result Appeal to Offender;GEN22;deviant
161;;;A;60.80398178100586;;GEN22;Payment;;;;;;2011-04-01 05:20:23;deviant;475228.25;86986.98333333334;Payment;GEN22;deviant
